0.0,327.35,1.03,0.38,787.909
0.53,874.0,2.75,3.7,338.386
0.0,740.51,2.33,0.99,655.037
0.0,415.704,1.308,2.34,1148.93
0.0,2415.4,7.6,7.3,1744.6
0.0,772.29,2.43,2.82,1176.12
0.08,1102.82,3.47,2.2,764.889
0.047,352.78,1.11,0.71,790.663
0.59,1366.669,4.3,8.87,844.061
0.0,718.2958,2.26,1.36,1398.8341969
0.16,889.9,2.8,3.0,1060.97
0.065,3302.11,10.39,12.6,1010.28
0.0,6883.91,21.66,26.4,768.771
0.007,921.707,2.9,3.45,1032.23
0.1,940.74,2.96,2.32,645.294
0.0,4131.79,13.0,nan,551.886
0.19,616.5902,1.94,1.96,192.516
0.5172,2765.121,8.7,7.29,127.774
0.015,2302.899,7.246,13.78,71.0374
0.23,1547.8321,4.87,4.6,277.278
0.11,425.8922,1.34,1.406,364.813
0.25,721.4741,2.27,2.18,344.05
0.432,1058.3739,3.33,2.5,249.325
0.063,587.41341,1.8482,1.175,294.419
0.058,371.528,1.169,0.89,390.594
0.0,331.801,1.044,0.61,405.238
0.0,699.226,2.2,0.75,350.351
0.115,429.0705,1.35,0.78,515.458
0.134,471.65972,1.484,0.8,666.802
0.29,734.1873,2.31,0.75,320.639
0.0,419.5356,1.32,0.558,275.358
0.0,1137.8314,3.58,1.02,341.263
0.0,2154.8874,6.78,1.54,330.739
0.12,589.55,1.855,1.03,283.971
0.085,759.6137,2.39,1.12,746.138
0.142,340.39593,1.071,1.191,513.011
0.126,689.6911,2.17,1.97,1139.55
0.0,1039.3041,3.27,1.86,757.044
0.029,425.25654,1.338,3.5,400.331
0.166,629.14449,1.9795,1.1169,624.368
0.0,427.463,1.345,1.05,341.925
0.079,870.8542,2.74,3.89,229.518
0.114,467.2101,1.47,0.29,639.004
0.0,718.2958,2.26,1.03,494.182
0.0,340.382,1.071,0.51,411.211
0.08,378.85336,1.192,0.79,248.46
0.306,388.38826,1.222,0.484,514.555
0.105,1022.14128,3.216,2.12,856.436
0.013,420.471,1.323,1.55,416.459
0.312,505.3497,1.59,0.49,1342.29
0.38,3082.951,9.7,5.1,737.668
0.229,597.5204,1.88,0.83,800.377
0.246,711.9392,2.24,1.06,555.134
0.028,1000.21101,3.147,2.65,279.485
0.092,1080.622,3.4,2.47,679.761
0.064,1694.0339,5.33,2.34,1477.98
0.057,460.8535,1.45,0.374,960.109
0.036,410.0007,1.29,0.856,603.955
0.18,4100.007,12.9,6.64,1458.83
0.091,371.8611,1.17,0.486,196.852
0.124,561.92344,1.768,1.26,126.339
0.0,410.0007,1.29,1.97,635.722
0.0,587.9855,1.85,2.99,475.758
0.12,323.86877,1.019,0.963,347.917
0.0,392.83788,1.236,0.37,314.995
0.0,451.3186,1.42,0.5,663.834
0.0,1175.971,3.7,nan,139.268
0.0,539.67534,1.698,0.94,348.646
0.14,603.877,1.9,nan,141.731
0.0099,8654.15,27.23,24.7,268.43
0.0,408.09372,1.284,0.322,250.121
nan,416.3573,1.31,0.46,226.5
0.0,1074.90106,3.382,0.806,136.426
0.0,1242.7153,3.91,1.24,470.878
0.077,1646.3594,5.18,3.13,96.5173
0.0,441.7837,1.39,0.442,136.681
0.34,349.613,1.1,0.733,399.398
0.0,381.396,1.2,nan,848.254
0.496,613.4119,1.93,2.46,921.986
0.0,346.4347,1.09,1.31,262.706
0.0323,584.78,1.84,1.74,1455.57
0.401,1678.1424,5.28,4.82,397.292
0.0628,1868.8404,5.88,6.36,788.238
0.011,778.65,2.45,1.35,720.753
0.0,749.9,2.36,273.0,703.302
0.02,858.1,2.7,nan,835.756
0.0,508.5,1.6,nan,1156.81
0.0,508.5,1.6,nan,1156.81
0.0,2895.31,9.11,nan,1044.36
0.0,4385.87,13.8,nan,1044.36
0.0,479.9,1.51,nan,438.359
0.0,432.23,1.36,nan,438.359
0.0111,640.0,2.01,1.88,914.221
0.0,1493.7,4.7,nan,1664.64
0.0,2161.244,6.8,nan,1664.64
0.0,1303.0,4.1,nan,323.847
0.0,684.4,2.153,1290.0,454.883
0.112,6388.1,20.1,13.0,1057.41
0.0,699.2,2.2,1.68,2305.01
0.2,349.6,1.1,nan,1002.53
0.833,794.5,2.5,3.5,1011.36
0.0,327.35,1.03,1.94,698.646
0.22,403.63,1.27,1.02,686.284
0.017,1026.5909,3.23,5.0,1005.84
0.119,896.24,2.82,1.13,1878.31
0.131,908.96,2.86,2.4,1222.54
0.123,435.41,1.37,0.4,268.041
0.01,1907.0,6.0,14.0,777.06
0.0,670.93913,2.111,0.4,899.777
0.0,2765.0,8.7,nan,321.542
0.0,3308.41,10.41,nan,321.542
0.0,5851.0,18.41,nan,1366.07
0.0,5002.43,15.74,nan,1366.07
0.0,473.55,1.49,nan,578.796
0.0,352.78,1.11,nan,578.796
0.0,5994.02,18.86,nan,644.14
0.0,2208.83,6.95,nan,644.14
0.0,441.77,1.39,nan,969.252
0.0,696.02,2.19,nan,969.252
0.0,651.52,2.05,nan,1163.22
0.0,435.41,1.37,nan,1163.22
0.37,321.0083,1.01,1.68,1063.58
0.57,3209.9,10.1,11.0,835.356
0.036,324.2,1.02,0.729,1232.9
0.0,1175.971,3.7,1.5,182.273
0.0,687.14846,2.162,1.43,324.6986504
0.0,425.57437,1.339,0.711,308.262
0.06,921.707,2.9,2.93,609.128
0.15,400.449,1.26,1.2,566.459
0.6,375.02,1.18,0.85,2012.62
0.0,320.995,1.01,0.41,2501.75
0.0,327.351,1.03,0.42,1515.26
0.67,441.77,1.39,0.68,282.8391387
nan,1430.175,4.5,1.25,1627.63
nan,734.16,2.31,3.44,747.959
0.0,411.27202,1.294,1.076,185.615
0.0,792.635,2.494,1.573,181.374
0.0,1369.8473,4.31,4.0,735.601
0.0,1938.763,6.1,5.1,329.036
0.0,1373.0256,4.32,3.95,367.658
0.0,597.5204,1.88,0.502,705.981
0.0,378.2177,1.19,1.43,213.771
nan,3082.82,9.7,8.34,8500.0
nan,1207.7,3.8,8.87,8500.0
0.575,617.22586,1.942,1.847,306.063
0.262,797.7533,2.51,1.68,336.267
0.0,375.0394,1.18,0.686,355.683
0.0,387.7526,1.22,0.49,411.719
0.3806,1722.6386,5.42,7.53,342.831
0.153,486.2799,1.53,1.96,179.366
0.072,464.98529,1.463,1.7,199.581
0.435,392.83788,1.236,0.957,141.812
0.0,381.396,1.2,nan,142.488
0.0,607.03,1.91,0.994,231.337
0.03,568.9157,1.79,1.31,360.313
0.0473,1001.12,3.15,4.14,140.998
0.15,473.547,1.49,0.55,375.647
0.0,572.094,1.8,2.65,169.272
0.0,514.8846,1.62,1.86,352.181
0.058,390.9309,1.23,0.7,302.448
0.057,1541.4755,4.85,2.0,381.174
0.0,375.99289,1.183,0.243,269.898
0.0,390.9309,1.23,2.34,172.256
0.17,368.6828,1.16,0.88,559.084
0.0,603.877,1.9,1.16,298.214
nan,479.9233,1.51,0.773,275.587
nan,387.7526,1.22,1.2,414.234
0.0,854.9627,2.69,1.98,516.543
0.3775,2688.8418,8.46,8.54,527.995
0.0,886.7457,2.79,3.1,524.993
0.0,394.1092,1.24,0.572,194.134
nan,791.3967,2.49,2.2,343.08
0.434,1652.716,5.2,6.9,310.841
nan,594.3421,1.87,1.42,261.386
0.0,676.9779,2.13,1.96,327.506
nan,2542.64,8.0,nan,423.552
nan,508.528,1.6,1.6,305.603
0.0,344.52772,1.084,1.5,757.84
nan,413.179,1.3,nan,410.149
0.0,527.5978,1.66,0.37,427.678
0.33,1341.2426,4.22,3.821,278.514
0.002,339.76027,1.069,0.492,268.325
0.0,731.009,2.3,1.62,508.885
0.0,835.8929,2.63,3.24,275.994
0.0,572.07,1.8,1.53,392.791
0.03,1093.3352,3.44,2.54,136.24
0.0,376.94638,1.186,0.612,267.206
0.0,565.714,1.78,2.939,86.7467
0.022,607.0553,1.91,1.467,375.31
0.0028,363.1,1.14243,0.993,264.78
0.038,502.15,1.58,1.64,309.137
0.009,466.8287,1.4688,1.325,184.848
0.03,677.61356,2.132,2.28,201.338
0.0,851.7844,2.68,1.423,488.66
0.0,492.62,1.55,1.5,273.703
0.0,746.9005,2.35,1.144,500.258
0.0,441.7837,1.39,0.94,362.715
0.0,731.009,2.3,0.87,434.754
0.0,908.9938,2.86,1.596,316.678
0.0,352.7913,1.11,0.131,754.258
0.0,371.8611,1.17,0.354,275.664
0.193,1875.197,5.9,7.0,290.946
0.0,425.8922,1.34,1.59,149.942
0.0,467.2101,1.47,0.479,370.284
0.0,457.6752,1.44,0.84,137.544
0.0,432.2488,1.36,1.21,151.068
0.0,772.3269,2.43,2.79,158.66
0.1,1274.44,4.01,1.61,2346.01
0.0,355.9696,1.12,0.54,1030.7683444
0.29,2316.9807,7.29,8.09,213.053
0.0,451.3186,1.42,0.83,272.655
0.0,378.2,1.19,1.06,276.211
0.0,1398.452,4.4,0.62,235.479
